tc,call_volume,aht,service_level,art
2022-12-01 00:00:00.000,15,162,80,30
2022-12-01 00:15:00.000,11,192,80,30
2022-12-01 00:30:00.000,13,168,80,30
2022-12-01 00:45:00.000,9,172,80,30
2022-12-01 01:00:00.000,13,181,80,30
2022-12-01 01:15:00.000,9,172,80,30
2022-12-01 01:30:00.000,14,165,80,30
2022-12-01 01:45:00.000,19,159,80,30
2022-12-01 02:00:00.000,14,156,80,30
2022-12-01 02:15:00.000,23,143,80,30
2022-12-01 02:30:00.000,27,233,80,30
2022-12-01 02:45:00.000,27,142,80,30
2022-12-01 03:00:00.000,35,210,80,30
2022-12-01 03:15:00.000,35,229,80,30
2022-12-01 03:30:00.000,45,202,80,30
2022-12-01 03:45:00.000,44,184,80,30
2022-12-01 04:00:00.000,45,160,80,30
2022-12-01 04:15:00.000,60,167,80,30
2022-12-01 04:30:00.000,64,290,80,30
2022-12-01 04:45:00.000,69,287,80,30
2022-12-01 05:00:00.000,79,156,80,30
2022-12-01 05:15:00.000,82,313,80,30
2022-12-01 05:30:00.000,110,386,80,30
2022-12-01 05:45:00.000,109,416,80,30
2022-12-01 06:00:00.000,117,356,80,30
2022-12-01 06:15:00.000,122,339,80,30
2022-12-01 06:30:00.000,137,167,80,30
2022-12-01 06:45:00.000,142,207,80,30
2022-12-01 07:00:00.000,168,347,80,30
2022-12-01 07:15:00.000,202,330,80,30
2022-12-01 07:30:00.000,215,331,80,30
2022-12-01 07:45:00.000,238,252,80,30
2022-12-01 08:00:00.000,259,266,80,30
2022-12-01 08:15:00.000,295,421,80,30
2022-12-01 08:30:00.000,334,422,80,30
2022-12-01 08:45:00.000,363,414,80,30
2022-12-01 09:00:00.000,423,487,80,30
2022-12-01 09:15:00.000,488,383,80,30
2022-12-01 09:30:00.000,566,391,80,30
2022-12-01 09:45:00.000,585,544,80,30
2022-12-01 10:00:00.000,618,476,80,30
2022-12-01 10:15:00.000,640,488,80,30
2022-12-01 10:30:00.000,680,509,80,30
2022-12-01 10:45:00.000,673,485,80,30
2022-12-01 11:00:00.000,667,475,80,30
2022-12-01 11:15:00.000,659,419,80,30
2022-12-01 11:30:00.000,660,444,80,30
2022-12-01 11:45:00.000,639,446,80,30
2022-12-01 12:00:00.000,626,486,80,30
2022-12-01 12:15:00.000,619,455,80,30
2022-12-01 12:30:00.000,613,483,80,30
2022-12-01 12:45:00.000,587,424,80,30
2022-12-01 13:00:00.000,581,399,80,30
2022-12-01 13:15:00.000,577,503,80,30
2022-12-01 13:30:00.000,583,490,80,30
2022-12-01 13:45:00.000,575,518,80,30
2022-12-01 14:00:00.000,595,482,80,30
2022-12-01 14:15:00.000,602,561,80,30
2022-12-01 14:30:00.000,598,473,80,30
2022-12-01 14:45:00.000,566,487,80,30
2022-12-01 15:00:00.000,540,486,80,30
2022-12-01 15:15:00.000,534,504,80,30
2022-12-01 15:30:00.000,527,534,80,30
2022-12-01 15:45:00.000,507,437,80,30
2022-12-01 16:00:00.000,479,480,80,30
2022-12-01 16:15:00.000,466,457,80,30
2022-12-01 16:30:00.000,448,488,80,30
2022-12-01 16:45:00.000,414,422,80,30
2022-12-01 17:00:00.000,390,465,80,30
2022-12-01 17:15:00.000,341,530,80,30
2022-12-01 17:30:00.000,299,436,80,30
2022-12-01 17:45:00.000,276,421,80,30
2022-12-01 18:00:00.000,257,604,80,30
2022-12-01 18:15:00.000,197,821,80,30
2022-12-01 18:30:00.000,170,625,80,30
2022-12-01 18:45:00.000,149,224,80,30
2022-12-01 19:00:00.000,139,558,80,30
2022-12-01 19:15:00.000,114,421,80,30
2022-12-01 19:30:00.000,116,490,80,30
2022-12-01 19:45:00.000,94,327,80,30
2022-12-01 20:00:00.000,98,289,80,30
2022-12-01 20:15:00.000,74,450,80,30
2022-12-01 20:30:00.000,77,173,80,30
2022-12-01 20:45:00.000,58,195,80,30
2022-12-01 21:00:00.000,63,192,80,30
2022-12-01 21:15:00.000,54,185,80,30
2022-12-01 21:30:00.000,46,178,80,30
2022-12-01 21:45:00.000,50,157,80,30
2022-12-01 22:00:00.000,40,149,80,30
2022-12-01 22:15:00.000,33,153,80,30
2022-12-01 22:30:00.000,27,154,80,30
2022-12-01 22:45:00.000,21,158,80,30
2022-12-01 23:00:00.000,25,156,80,30
2022-12-01 23:15:00.000,18,170,80,30
2022-12-01 23:30:00.000,20,217,80,30
2022-12-01 23:45:00.000,16,198,80,30
2022-12-02 00:00:00.000,12,161,80,30
